A,B,C,D,E,F,G,H,class
2.0411875274116853,9.618360396091065,5.068938065874332,5.350196433699988,4.575605312363469,6.577701223061975,3.7969477234249673,9.742303990290061,1.0
4.207316322915142,9.282264932758416,3.6653965568181377,1.1994054600304849,9.87872260484717,4.78921165600648,2.8964237404814694,5.0159769002545165,0.0
3.4587981220251516,5.6822331795028855,5.518949228045178,6.683992322948484,9.336736872592397,7.565381551045643,4.128071194636071,1.9217390377246246,1.0
0.5613831532777636,2.5715759501078117,6.333451737543367,8.148394247340743,6.03622944517195,9.506944589013097,2.175246122851476,4.957858365569815,1.0
2.118417500706873,9.288519775008556,2.7023781335104022,4.170750474450468,0.5516561965190536,4.823464816552611,4.903302545355847,0.5863760550095631,0.0
2.297897939173623,9.029969026571136,7.328391963818255,0.8368229465735144,8.454231530290992,1.2555529749000982,6.266072543946768,9.732612311981988,1.0
1.0164744353103838,3.5912329271977486,6.225741586044171,1.7836651177524132,3.778948456910549,4.079543127889637,9.061298815042475,0.8209250131818469,1.0
8.923359110746183,4.371555336864312,2.977084655551584,7.692448661222343,1.9014734471331463,8.511417279393088,5.49952387415974,6.384275955086997,0.0
0.34130359520824216,5.610755456002914,2.2605576217522705,1.8218574162219525,7.504947197195305,7.5900171675173,9.693205767282782,3.070002288336686,0.0
1.7975072509548418,8.290864004149224,2.2833663651834977,3.6768617739305265,3.066304300386178,2.1373669788724348,1.9636175930705402,8.613992907406205,0.0
5.460722965954621,4.860201265560967,9.445292039024132,5.2480921144570525,6.5943096946969115,1.2944060494775744,1.9828925237945971,1.4443803709537295,1.0
1.2968214554185398,4.155831128165399,7.726453270056072,0.8779174797532974,1.393862024609901,6.37051446318008,0.8592611709654063,8.962341359580993,1.0
1.2637873029948088,9.939768575256108,4.637684544056167,0.665919563960371,5.358402228028937,7.1386323023974985,1.1363900008302008,1.014587773199146,1.0
7.341640666851808,1.3000781526279392,7.068676051744365,5.938362839789396,0.6860209372927129,2.0189089230477544,4.000484862711495,0.6291566173850838,1.0
0.4523661358922193,1.4440154982985665,7.057586715265341,8.30045648532103,6.3137037409341215,6.096012846061624,1.9732420870177214,1.2265349362020272,1.0
1.178560623331747,4.479274814483215,5.325397119750791,7.23216819145093,6.71746589891916,8.638770024389537,7.711512167507545,0.4693050352622241,1.0
3.883843332119874,6.286901082494577,4.039018092290604,7.65875093779043,1.347213114898036,5.069744481394328,7.407040522886947,6.892400683941783,1.0
3.503058222211315,8.943549384163571,2.167386524983014,5.340083532221697,1.828157939901247,9.071667431659785,9.255291464668659,4.353110204312247,0.0
5.620240478117809,1.1589884430969255,5.491169554160925,4.032026119307104,3.834062013845779,1.3857072468063891,5.333267072053651,7.894371751702833,1.0
9.046280559061211,6.0105172357426415,7.125614242321081,8.263712446817799,1.7728859966946853,4.670467536011219,0.6802486613526137,0.8282559613639529,1.0
7.5211674050913855,8.169172236994374,8.539508867835881,9.092349419754585,5.199370726962961,0.2149155795961155,5.170898333802696,1.7338845735578523,1.0
2.40597186000456,1.1647654292464316,4.859718084508144,3.6141208219733656,7.895284162208314,2.0902246268732627,8.338590117934682,7.794042529116636,1.0
4.79759495825459,0.514327918141444,2.37978234691415,9.868545926954807,0.3462467276463588,8.676892451862043,3.886218904793459,0.6094624952278327,1.0
7.755828427018031,6.74043085921067,7.377900943620853,4.708982583706308,4.636538351605441,9.238029973438167,2.7830082269315017,7.0076518184177665,1.0
7.666228864143239,8.769124891670417,0.5889730020993966,2.5600999592713656,4.941021234298304,3.002990246001013,7.943815614722718,9.261423176229776,0.0
0.4319749611291057,9.29132740661392,4.32481657120813,4.7733584703387875,8.56409833317258,6.047523632473752,9.980365252568772,5.823011359275735,1.0
